855E	區	akkk		qu1
855F	卂	nfk		xun4
8560	卄	aghh		nian4
8561	卆	vfj		zu2,cu4
8562	卋	faf		shi4
8563	卌	glk		xi4
8564	卍	nhgh		wan4
8565	卐	nghg		wan4
8566	協	flll	feee	xie2
8567	単	ijfj		dan1
8568	卙	adwf	dwnf	ji2,chi4
8569	卛	xyxf	yxxf	lv4
856A	卝	gjgd	hghg	guan4
856B	卥	hlry		xi1
856C	卨	hmnk		xie4
856D	卪	byi		jie2
856E	卬	qbh		yang3,ang2
856F	卭	abh		qiong2
8570	卲	vkbh		shao4
8571	卶	qqbh		chi3
8572	卹	tlbh		su1,xu4
8573	卻	wwkb		que4
8574	卼	gqqb		kui4
8575	卽	rxbh		ji2
8576	卾	kkfb		e4
8577	厀	swib		xi1
8578	厁	wtub	wgsb	san1
8579	厃	qdr		yan2,wei3
857A	厇	dtav		zhe2
857B	厈	dfk		han3,an4
857C	厊	daht		ya3
857D	厎	dqay		di3
857E	厏	dthf		zha3
8580	厐	ddxv	ddxy	pang2
8581	厑	dkxv		ting1
8582	厒	drmk	dtfb	qie4
8583	厓	dffd		ya2
8584	厔	dgcf		zhi4,shi1
8585	厖	ddne	ddny	mang2
8586	厗	duk		ti2
8587	厙	dlk		she4
8588	厛	dkrk		ting1
8589	厜	dtgf		zui1
858A	厞	ddjd	dhdd	fei4
858B	厠	dmjk		ce4,si5
858C	厡	drii		yuan2
858D	厤	dtti		li4
858E	厧	dfhw		dian1
858F	厪	dakg		jin3,qin2
8590	厫	dgqt		ao2
8591	厬	djtk		gui3
8592	厭	djed		yan4,ya1
8593	厯	dssn	dssy	li4
8594	厰	dimt		chang3
8595	厱	dwgw		lan2,qian1
8596	厲	dajy		li4
8597	厳	idnt		yan2
8598	厴	djel		yan3
8599	厵	drii		yuan2
859A	厷	dcu		gong1,hong2
859B	厸	ccy		lin2,mian3
859C	厹	vcu		qiu2
859D	厺	dcu		qu4
859E	厼	ciu		
859F	厽	cccu		lei3
85A0	厾	nfci		du3
85A1	叀	gjhc	gmcu	zhuan1,hui4
85A2	參	ccce		can1
